Wall time,Step,Value
1604492408.4796455,363,329.5513610839844
1604492414.1420667,367,282.9159851074219
1604492418.984198,371,317.5082702636719
1604492421.356741,373,297.459228515625
1604492426.3361838,377,295.8904724121094
1604492427.5980673,378,317.7255859375
1604492428.8195848,379,298.5269470214844
1604492431.6327143,381,262.9068298339844
1604492437.8568707,386,308.6474609375
1604492439.0829308,387,305.5428466796875
1604492444.6475153,391,301.50421142578125
1604492445.8701525,392,300.3818359375
1604492447.2179825,393,296.6970520019531
1604492464.1847851,403,287.736572265625
1604492470.9129982,408,297.2777099609375
1604492481.1285024,415,258.7177734375
1604492482.668715,416,291.1357116699219
1604492489.9884663,421,313.63677978515625
1604492491.18427,422,297.5558166503906
1604492493.7451456,424,292.55908203125
1604492496.3039188,426,296.44293212890625
1604492501.6772335,430,311.6922302246094
1604492515.2044365,439,297.1058349609375
1604492518.2015722,441,326.6497802734375
1604492519.815798,442,308.8189392089844
1604492524.417266,445,266.04736328125
1604492535.3852623,451,298.5853271484375
1604492546.624367,459,329.9621887207031
1604492548.0182652,460,301.9755554199219
1604492549.283199,461,300.7464294433594
1604492552.0221827,463,291.1969909667969
1604492553.4734404,464,293.72509765625
1604492557.686206,467,273.9258728027344
1604492559.1957946,468,289.559814453125
1604492566.9301858,473,294.21246337890625
1604492568.483902,474,286.0382080078125
1604492584.110386,485,319.8998107910156
1604492588.8995748,488,307.6563415527344
1604492590.3937256,489,316.02056884765625
1604492593.5702796,491,301.1700744628906
1604492596.7315376,493,292.7313537597656
1604492601.1636946,496,287.78289794921875
1604492619.4622285,507,290.9778137207031
1604492625.1429274,511,304.0144958496094
1604492626.4955523,512,312.59521484375
1604492629.412397,514,281.564453125
1604492633.873599,517,305.435302734375
1604492636.706814,519,288.38433837890625
1604492643.9382212,524,299.2504577636719
1604492645.440354,525,294.50042724609375
1604492654.0965152,531,268.06085205078125
1604492657.4500299,533,287.89276123046875
1604492659.1330345,534,260.2590026855469
1604492660.667873,535,313.7976989746094
1604492662.3485134,536,294.2512512207031
1604492663.942841,537,267.5833740234375
1604492666.063727,538,286.3594665527344
1604492669.7183325,540,293.7091064453125
1604492672.9620512,542,290.565185546875
1604492680.9889941,547,275.340087890625
1604492682.9758713,548,290.2397155761719
1604492684.5468688,549,266.66766357421875
1604492689.88058,551,262.5116882324219
1604492696.1816485,555,275.5346984863281
1604492699.2051957,557,255.3275146484375
1604492702.4208913,559,285.47674560546875
1604492708.7858343,563,280.7891845703125
1604492710.5169473,564,250.2291259765625
1604492712.153909,565,282.9037780761719
1604492718.8109941,569,282.23382568359375
1604492725.826842,573,259.5818786621094
1604492727.2679954,574,264.717041015625
1604492731.7348454,577,272.3767395019531
1604492734.6830275,579,277.89373779296875
1604492736.180386,580,266.1006774902344
1604492737.8999085,581,259.43536376953125
1604492739.4331064,582,289.1041564941406
1604492740.9911416,583,270.3382873535156
1604492742.9283183,584,262.42431640625
1604492746.1439292,586,268.1922607421875
1604492747.8544965,587,236.6685791015625
1604492758.9964986,592,255.9590606689453
1604492762.791406,593,264.1177673339844
1604492770.2433317,596,244.6312255859375
1604492772.2922897,597,270.3515930175781
1604492778.1593144,600,244.86825561523438
1604492784.005204,602,273.54803466796875
1604492791.4618342,606,258.0184020996094
1604492794.9998202,608,266.9029846191406
1604492798.1866226,610,255.00555419921875
1604492801.3997283,612,256.5927429199219
1604492807.022999,615,239.63121032714844
1604492813.9553201,619,235.64259338378906
1604492815.8535738,620,234.9252471923828
1604492819.270731,622,250.72085571289062
1604492824.710724,625,230.15232849121094
1604492832.9901621,629,225.7504119873047
1604492842.6804812,634,223.49697875976562
1604492856.9956234,641,228.20184326171875
1604492859.3160734,642,213.8260955810547
1604492864.3435853,644,213.9145050048828
1604492866.3185275,645,216.45730590820312
1604492868.066737,646,217.66537475585938
1604492869.626774,647,219.07667541503906
1604492872.8754122,649,239.77557373046875
1604492879.794682,652,231.2867889404297
1604492886.630124,656,220.27403259277344
1604492888.247124,657,245.18914794921875
1604492894.9425793,661,216.075927734375
1604492899.8125167,664,219.580810546875
1604492906.387115,668,204.6817626953125
1604492911.3206475,671,215.356201171875
1604492912.9296913,672,230.55648803710938
1604492914.6443741,673,228.09103393554688
1604492916.2450306,674,230.90818786621094
1604492917.8794398,675,222.5580596923828
1604492920.9424055,677,211.5307159423828
1604492922.5007386,678,206.71484375
1604492924.1029217,679,211.3472900390625
1604492927.306478,681,230.4822540283203
1604492928.9551888,682,216.8077392578125
1604492930.5511436,683,229.90081787109375
1604492932.134273,684,224.03138732910156
1604492935.5073445,686,217.69430541992188
1604492938.8768854,688,207.76626586914062
1604492940.5465455,689,209.54930114746094
1604492951.9406233,696,214.361083984375
1604492956.7949088,699,222.527587890625
1604492958.469789,700,204.45492553710938
1604492962.1489377,701,217.70106506347656
1604492965.3405132,703,204.47933959960938
1604492970.667257,706,225.88270568847656
1604492974.0890906,708,209.28915405273438
1604492977.4250321,710,190.2683563232422
1604492983.898294,714,215.82142639160156
1604492990.5196507,718,198.85205078125
1604492995.411528,721,196.98004150390625
1604492997.1037853,722,202.79547119140625
1604492998.7120829,723,193.396484375
1604493000.377169,724,197.24859619140625
1604493002.1161723,725,197.81222534179688
1604493010.3660014,730,216.6837158203125
1604493020.3025723,736,170.16836547851562
1604493023.550071,738,173.4631805419922
1604493025.2004585,739,163.7980499267578
1604493026.9136734,740,182.67062377929688
1604493032.2963042,743,182.9302978515625
1604493037.5943003,746,177.199462890625
1604493039.3020082,747,191.3318634033203
1604493044.9868708,750,191.62155151367188
1604493048.9500299,751,181.4287872314453
1604493050.7562134,752,185.9048309326172
1604493054.528445,754,190.78897094726562
1604493058.2664404,756,173.8455810546875
1604493070.4508877,762,180.06423950195312
1604493076.1670873,765,159.41607666015625
1604493077.9255962,766,173.25927734375
1604493083.1308577,769,169.73497009277344
1604493084.892358,770,185.8144073486328
1604493086.8438103,771,170.2801513671875
1604493090.4121747,773,180.83892822265625
1604493092.1010456,774,174.48992919921875
1604493103.1637173,780,184.8311767578125
